Faulty,Temperature,Pressure,Vibration,Humidity
Yes,11.220334757721453,52.275836886137505,4.048913750366387,65.17650624740597
Yes,11.309669977740633,53.641410491069564,4.423708869517825,60.26919771075522
Yes,12.567874253866314,62.63960412483224,0.4281021890789083,34.27521392748937
Yes,12.663196641760862,19.226158695854703,0.5857827151972012,48.020750260218236
Yes,12.931743048542808,18.554262548219913,3.1684771209764166,57.028381445295445
Yes,14.612445419759545,12.43794151651846,0.19257796153341777,87.91979889684148
Yes,14.681397913047858,54.49080103567619,4.3023984811291935,46.16866438158749
Yes,14.74829848613637,33.8761726147405,1.0114563308700046,36.054803196442855
Yes,15.400383075661708,60.30044868140172,0.4057065052226555,69.0883830859
Yes,15.905622342629414,40.78216845286595,3.9195488379304635,77.36553387025053
Yes,17.755489787647583,6.089714971614377,3.5916927092701605,30.455155500527773
Yes,18.52961341063255,15.117309886407691,1.6555813316528833,16.02109078530895
Yes,19.19053555752364,70.69668053334566,4.861887764955168,61.36708329129745
Yes,19.960610388134732,8.941387646216723,3.9432683020456087,16.83664741424023
Yes,20.099728465629426,32.023789401938174,3.754867287820847,22.318567350450287
Yes,20.726321650231025,77.32317922130662,3.6894309120814284,61.13789966934018
Yes,21.18566566526551,38.85464169952681,2.105884644643651,10.719372912705492
Yes,21.409034169795987,58.76206773545872,0.6034329130369731,56.97773716143057
Yes,21.829263541852498,29.230074976088474,4.875237762903527,38.819939736764866
Yes,21.890729095050716,74.66752749694464,1.8344825844569996,63.0284923919963
Yes,22.27105033128577,45.30749415712635,1.7278246083900595,12.413724054035349
Yes,23.04849338112941,18.299820280780278,1.316218477472881,37.38567643851429
Yes,23.52007189650115,36.74990828832945,1.9383871040450935,47.6825718132278
Yes,23.612314568699897,23.465003958665335,4.959988308000873,59.416085614730356
Yes,23.982665102234737,56.520620400854675,4.075613040128905,65.71587689658344
Yes,24.273591499047402,67.68632136630198,0.5775054289014092,49.53178139857005
Yes,25.019946812402388,33.0171886390868,4.8482151256819845,66.05471494478486
Yes,25.118677659704254,17.246581662709488,0.5717162096983841,62.00865519783839
Yes,25.756524879258755,66.66556244781916,2.6372702383998488,26.778698765393642
Yes,25.821838394569337,35.45686262123624,2.0769848380431966,22.59090844282925
Yes,26.10737880324478,44.326146989092244,1.8209711019811898,15.66204278453772
Yes,26.30352974215728,34.58641378282722,0.38978045021622276,51.25233248389197
Yes,26.536818638504602,25.984093441878866,1.1921273598934374,32.422369499872474
Yes,28.23869721223675,25.018879496126566,2.581199993920901,56.518146683368194
Yes,28.468053704401918,66.58897815565427,4.677367718285243,79.67022502085705
Yes,28.53963341926589,56.25904746510619,1.0592388845760181,89.98471787562592
Yes,28.762909148206408,49.38206461716399,3.8166503358427084,79.14985953791954
Yes,28.84373845809033,46.63183324015661,3.7114611179123225,29.408369177565845
Yes,29.190943449764912,16.180235287776096,4.195282248197177,87.78536476074666
Yes,29.36753025296703,60.30871766933411,0.6117551683923744,87.60210579358261
Yes,29.90826869393345,29.316106239801382,2.800564228003179,43.9856128078503
Yes,30.438410928745082,16.239312112509573,2.9422033288770373,61.90706876754048
Yes,31.284486246845304,5.627837486196062,1.3432375277686264,36.71612153196671
Yes,31.612524107250305,72.51314494025073,2.31809858834014,59.926879625694916
Yes,31.966555476526377,79.88773351925018,4.309759399271752,17.562714409648397
Yes,32.32311959073583,37.90759753672163,4.608228210926264,52.21795215736069
Yes,33.77480918327481,49.30267190780608,4.706252951818289,34.33015478594893
Yes,33.84196992916149,74.34794802578732,2.907367658360347,49.06673705223042
Yes,33.93418599628848,12.079018533549325,0.8670526416840679,15.437642895164227
Yes,34.1263075970497,71.56516709076233,3.1056333541483783,11.571725815050504
Yes,35.50182659116895,29.616813823889412,3.383725011544054,12.8842803289883
Yes,36.70671373503848,50.74420035528062,4.211372415036311,56.48109435166268
Yes,36.74170589717867,11.117985865317996,0.5973850534966624,61.74251966762107
Yes,37.900490188277985,26.83427329238407,3.964551503401153,16.49831505604732
Yes,38.20705241332246,69.64996152465775,1.0590505700156194,68.20919523831657
No,38.29574264121945,46.95142514913758,1.6997922766038798,59.27715918750084
Yes,38.538738262865934,36.72506519738164,3.0345132318884964,20.85753376348329
Yes,38.70718085483638,59.081095725601735,4.321391197243774,33.481107195815966
Yes,38.728981500623576,52.851715728497815,1.284226785067214,31.973920275602374
Yes,38.95006675668058,35.46856750051718,4.83092018608564,77.29214727638067
Yes,39.26567117245626,55.6410900377576,2.8747238547548437,58.8987063731258
No,39.80487844179174,36.0145974810797,1.2913825823808427,37.3077846964678
No,39.92367660306243,36.893736968211144,1.2847926456563579,52.53592941690806
No,40.705513099977324,35.979927402995635,2.2645505033366238,44.48526088720514
No,40.85744010183059,29.868673679812527,2.0981304941534376,51.49441152613718
